COUNTRY,AREA,DATE_START,DATE_END,CPC,RATE,COMMENT
TEST,,,,,0.1,test
TEST,TEST,,,,0.11,test
TEST,,2001-09-11,,,0.12,test
TEST,,,,1,0.13,test
TEST,,,2001-09-11,11,0.14,test
DEU,,,,,0.19,default rate
DEU,,,,1,0.07,flowers in a wider sense
DEU,,,,21,0.07,food
DEU,,,,22,0.07,food
DEU,,,,23,0.07,food
DEU,,,,322,0.07,books
DEU,,,,323,0.07,newspapers
DEU,,,,324,0.07,newspapers
DEU,,,,325,0.07,newspapers
DEU,,,,3261,0,stamps
DEU,Heligoland,,,,0,
CHE,,,,,0.08,default rate
CHE,,,,21,0.025,food
CHE,,,,22,0.025,food
CHE,,,,23,0.025,food
CHE,,,,322,0.025,books
CHE,,,,323,0.025,newspapers
CHE,,,,324,0.025,newspapers
CHE,,,,325,0.025,newspapers
CHE,,,,3526,0.025,medicaments
CHE,,,,631,0.038,hotels and accomodation